handle_uk,title_uk,gender,url_uk
add,ADD,woman,https://miomio.com.ua/uk/woman/add
agl,AGL,woman,https://miomio.com.ua/uk/woman/agl
aigner,AIGNER,woman,https://miomio.com.ua/uk/woman/aigner
apepazza,APEPAZZA,woman,https://miomio.com.ua/uk/woman/apepazza
armani-exchange,ARMANI EXCHANGE,woman,https://miomio.com.ua/uk/woman/armani-exchange
ash,ASH,woman,https://miomio.com.ua/uk/woman/ash
albano,Albano,woman,https://miomio.com.ua/uk/woman/albano
alberto-ciccioli,Alberto Ciccioli,woman,https://miomio.com.ua/uk/woman/alberto-ciccioli
alberto-guardiani,Alberto Guardiani,woman,https://miomio.com.ua/uk/woman/alberto-guardiani
aldo-brue,Aldo Brue,woman,https://miomio.com.ua/uk/woman/aldo-brue
angel-infantes,Angel Infantes,woman,https://miomio.com.ua/uk/woman/angel-infantes
area-forte,Area Forte,woman,https://miomio.com.ua/uk/woman/area-forte
armata-di-mare,Armata di Mare,woman,https://miomio.com.ua/uk/woman/armata-di-mare
biancalancia,BIANCALANCIA,woman,https://miomio.com.ua/uk/woman/biancalancia
black-friday-2025,BLACK FRIDAY 2025,woman,https://miomio.com.ua/uk/woman/black-friday-2025
bosideng,BOSIDENG,woman,https://miomio.com.ua/uk/woman/bosideng
bagatto,Bagatto,woman,https://miomio.com.ua/uk/woman/bagatto
baldinini,Baldinini,woman,https://miomio.com.ua/uk/woman/baldinini
ballerina,Ballerina,woman,https://miomio.com.ua/uk/woman/ballerina
bally,Bally,woman,https://miomio.com.ua/uk/woman/bally
barcly,Barcly,woman,https://miomio.com.ua/uk/woman/barcly
barly-coupee,Barly Coupee,woman,https://miomio.com.ua/uk/woman/barly-coupee
barracuda,Barracuda,woman,https://miomio.com.ua/uk/woman/barracuda
barracuda-zhinoche-vzuttya,Barracuda жіноче взуття,woman,https://miomio.com.ua/uk/woman/barracuda-zhinoche-vzuttya
barracuda-choloviche-vzuttya,Barracuda чоловіче взуття,man,https://miomio.com.ua/uk/man/barracuda-choloviche-vzuttya
bervicato,Bervicato,woman,https://miomio.com.ua/uk/woman/bervicato
bikkembergs,Bikkembergs,woman,https://miomio.com.ua/uk/woman/bikkembergs
bikkembergs-aksessuary,Bikkembergs аксесуари,woman,https://miomio.com.ua/uk/woman/bikkembergs-aksessuary
bikkembergs-choloviche,Bikkembergs чоловіче,man,https://miomio.com.ua/uk/man/bikkembergs-choloviche
blauer-usa,Blauer,woman,https://miomio.com.ua/uk/woman/blauer-usa
blumarine,Blumarine,woman,https://miomio.com.ua/uk/woman/blumarine
boemos,Boemos,woman,https://miomio.com.ua/uk/woman/boemos
bogner,Bogner,woman,https://miomio.com.ua/uk/woman/bogner
bogner-zhinoche-vzuttya,Bogner жіноче взуття,woman,https://miomio.com.ua/uk/woman/bogner-zhinoche-vzuttya
bogner-choloviche-vzuttya,Bogner чоловіче взуття,man,https://miomio.com.ua/uk/man/bogner-choloviche-vzuttya
camerlengo,Camerlengo,woman,https://miomio.com.ua/uk/woman/camerlengo
casadei,Casadei,woman,https://miomio.com.ua/uk/woman/casadei
cavalli-class,Cavalli Class,woman,https://miomio.com.ua/uk/woman/cavalli-class
cerruti-1881,Cerruti 1881,woman,https://miomio.com.ua/uk/woman/cerruti-1881
cesare-casadei,Cesare Casadei,woman,https://miomio.com.ua/uk/woman/cesare-casadei
cesare-paciotti,Cesare Paciotti,woman,https://miomio.com.ua/uk/woman/cesare-paciotti
chopo-1991,Chopo 1991,woman,https://miomio.com.ua/uk/woman/chopo-1991
colors-of-california,Colors of California,woman,https://miomio.com.ua/uk/woman/colors-of-california
dexterior,D.Exterior,woman,https://miomio.com.ua/uk/woman/dexterior
doucals,Doucal's,woman,https://miomio.com.ua/uk/woman/doucals
duvetica,Duvetica,woman,https://miomio.com.ua/uk/woman/duvetica
eclat,E'clat,woman,https://miomio.com.ua/uk/woman/eclat
ea7-emporio-armani,EA7,woman,https://miomio.com.ua/uk/woman/ea7-emporio-armani
ea7-emporio-armani-zhinoche,EA7 Emporio Armani жіноче,woman,https://miomio.com.ua/uk/woman/ea7-emporio-armani-zhinoche
ea7-emporio-armani-choloviche,EA7 Emporio Armani чоловіче,man,https://miomio.com.ua/uk/man/ea7-emporio-armani-choloviche
ea7-emporio-armani-cholovichyj-odyag,EA7 Emporio Armani чоловічий одяг,man,https://miomio.com.ua/uk/man/ea7-emporio-armani-cholovichyj-odyag
essentiel,ESSENTIEL,woman,https://miomio.com.ua/uk/woman/essentiel
elena,Elena,woman,https://miomio.com.ua/uk/woman/elena
emile,Emile,woman,https://miomio.com.ua/uk/woman/emile
emporio-armani,Emporio Armani,woman,https://miomio.com.ua/uk/woman/emporio-armani
extra-sale,Extra Sale,woman,https://miomio.com.ua/uk/woman/extra-sale
furla-aksesuary,FURLA,woman,https://miomio.com.ua/uk/woman/furla-aksesuary
fw-25-26,FW'25-26,woman,https://miomio.com.ua/uk/woman/fw-25-26
fabi,Fabi,woman,https://miomio.com.ua/uk/woman/fabi
fabi-choloviche-vzuttya,Fabi чоловіче взуття,man,https://miomio.com.ua/uk/man/fabi-choloviche-vzuttya
fabio-rusconi,Fabio Rusconi,woman,https://miomio.com.ua/uk/woman/fabio-rusconi
forte-dei-marmi-couture,Forte Dei Marmi Couture,woman,https://miomio.com.ua/uk/woman/forte-dei-marmi-couture
francesco-valeri,Francesco Valeri,woman,https://miomio.com.ua/uk/woman/francesco-valeri
