handle_ru,title_ru,gender,url_ru
add,ADD,woman,https://miomio.com.ua/ru/woman/add
agl,AGL,woman,https://miomio.com.ua/ru/woman/agl
aigner,AIGNER,woman,https://miomio.com.ua/ru/woman/aigner
apepazza,APEPAZZA,woman,https://miomio.com.ua/ru/woman/apepazza
armani-exchange,ARMANI EXCHANGE,woman,https://miomio.com.ua/ru/woman/armani-exchange
ash,ASH,woman,https://miomio.com.ua/ru/woman/ash
albano,Albano,woman,https://miomio.com.ua/ru/woman/albano
alberto-ciccioli,Alberto Ciccioli,woman,https://miomio.com.ua/ru/woman/alberto-ciccioli
alberto-guardiani,Alberto Guardiani,woman,https://miomio.com.ua/ru/woman/alberto-guardiani
aldo-brue,Aldo Brue,woman,https://miomio.com.ua/ru/woman/aldo-brue
angel-infantes,Angel Infantes,woman,https://miomio.com.ua/ru/woman/angel-infantes
area-forte,Area Forte,woman,https://miomio.com.ua/ru/woman/area-forte
armata-di-mare,Armata di Mare,woman,https://miomio.com.ua/ru/woman/armata-di-mare
biancalancia,BIANCALANCIA,woman,https://miomio.com.ua/ru/woman/biancalancia
black-friday-2025,BLACK FRIDAY 2025,woman,https://miomio.com.ua/ru/woman/black-friday-2025
bosideng,BOSIDENG,woman,https://miomio.com.ua/ru/woman/bosideng
bagatto,Bagatto,woman,https://miomio.com.ua/ru/woman/bagatto
baldinini,Baldinini,woman,https://miomio.com.ua/ru/woman/baldinini
ballerina,Ballerina,woman,https://miomio.com.ua/ru/woman/ballerina
bally,Bally,woman,https://miomio.com.ua/ru/woman/bally
barcly,Barcly,woman,https://miomio.com.ua/ru/woman/barcly
barly-coupee,Barly Coupee,woman,https://miomio.com.ua/ru/woman/barly-coupee
barracuda,Barracuda,woman,https://miomio.com.ua/ru/woman/barracuda
barracuda-zhenskaya-obuv,Barracuda женская обувь,woman,https://miomio.com.ua/ru/woman/barracuda-zhenskaya-obuv
barracuda-muzhskaya-obuv,Barracuda мужская обувь,man,https://miomio.com.ua/ru/man/barracuda-muzhskaya-obuv
bervicato,Bervicato,woman,https://miomio.com.ua/ru/woman/bervicato
bikkembergs,Bikkembergs,woman,https://miomio.com.ua/ru/woman/bikkembergs
bikkembergs-aksessuary,Bikkembergs аксесуари,woman,https://miomio.com.ua/ru/woman/bikkembergs-aksessuary
bikkembergs-muzhskoe,Bikkembergs мужское,woman,https://miomio.com.ua/ru/woman/bikkembergs-muzhskoe
blauer-usa,Blauer,woman,https://miomio.com.ua/ru/woman/blauer-usa
blumarine,Blumarine,woman,https://miomio.com.ua/ru/woman/blumarine
boemos,Boemos,woman,https://miomio.com.ua/ru/woman/boemos
bogner,Bogner,woman,https://miomio.com.ua/ru/woman/bogner
bogner-zhinoche-vzuttya,Bogner жіноче взуття,woman,https://miomio.com.ua/ru/woman/bogner-zhinoche-vzuttya
bogner-choloviche-vzuttya,Bogner чоловіче взуття,man,https://miomio.com.ua/ru/man/bogner-choloviche-vzuttya
camerlengo,Camerlengo,woman,https://miomio.com.ua/ru/woman/camerlengo
casadei,Сasadei,woman,https://miomio.com.ua/ru/woman/casadei
cavalli-class,Cavalli Class,woman,https://miomio.com.ua/ru/woman/cavalli-class
cerruti-1881,Cerruti 1881,woman,https://miomio.com.ua/ru/woman/cerruti-1881
